                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.62321,                0.57456,                 1.0322,                0.77618,                0.82598,                0.86648,                0.67527,                0.77073,                0.89984,                 1.0539,               0.006931,               0.006931,               0.006931
                     95,                0.61107,                 0.5717,                  1.022,                0.80452,                0.78892,                0.86065,                0.67647,                0.75713,                0.91523,                 1.0344,               0.006898,               0.006898,               0.006898
                     96,                0.62926,                0.58161,                 1.0278,                 0.7684,                0.80505,                0.84904,                0.67304,                0.76698,                0.95191,                 1.0494,               0.006865,               0.006865,               0.006865
                     97,                 0.6051,                0.56188,                 1.0176,                0.79249,                0.77952,                0.84498,                 0.6743,                0.75538,                0.91876,                 1.0359,               0.006832,               0.006832,               0.006832
                     98,                 0.6171,                0.56479,                 1.0206,                0.77765,                0.79609,                0.85219,                0.67085,                0.75864,                0.94245,                 1.0464,               0.006799,               0.006799,               0.006799
                     99,                0.61236,                0.56691,                  1.024,                0.75837,                0.81716,                0.85804,                0.67887,                0.74967,                0.94581,                 1.0411,               0.006766,               0.006766,               0.006766
                    100,                0.60854,                0.56954,                 1.0209,                0.78577,                0.80768,                0.85608,                0.68022,                0.74521,                 0.9405,                 1.0398,               0.006733,               0.006733,               0.006733
                    101,                0.60878,                 0.5568,                 1.0218,                0.80342,                0.78342,                0.85382,                0.67472,                0.75127,                0.91337,                 1.0427,                 0.0067,                 0.0067,                 0.0067
                    102,                0.60723,                0.54707,                 1.0206,                0.79255,                0.79245,                0.85399,                0.67875,                0.75513,                0.93876,                 1.0427,               0.006667,               0.006667,               0.006667
                    103,                0.59631,                0.54952,                 1.0125,                0.81372,                0.78974,                0.85273,                 0.6794,                0.75611,                0.92493,                 1.0319,               0.006634,               0.006634,               0.006634
                    104,                0.60262,                0.55125,                 1.0165,                0.81698,                0.77503,                 0.8545,                 0.6744,                0.75527,                0.94649,                 1.0313,               0.006601,               0.006601,               0.006601
                    105,                0.59433,                0.54402,                 1.0067,                0.76917,                0.82629,                0.85859,                0.68526,                0.74992,                0.90176,                 1.0285,               0.006568,               0.006568,               0.006568
                    106,                0.59388,                0.55354,                 1.0157,                0.77998,                0.79352,                0.84231,                0.67075,                0.75385,                0.99218,                 1.0418,               0.006535,               0.006535,               0.006535
                    107,                0.59635,                0.54502,                  1.013,                0.80563,                0.79498,                0.85344,                0.67617,                0.74216,                0.92904,                 1.0275,               0.006502,               0.006502,               0.006502
                    108,                0.59066,                0.53836,                  1.009,                0.78946,                0.80455,                0.86119,                0.68176,                0.74547,                0.92748,                 1.0378,               0.006469,               0.006469,               0.006469
                    109,                0.58592,                0.53396,                 1.0092,                0.79327,                0.79366,                0.84814,                 0.6763,                 0.7447,                 0.9334,                 1.0296,               0.006436,               0.006436,               0.006436
                    110,                0.59892,                0.53768,                 1.0157,                0.79404,                0.80626,                0.86099,                0.68239,                 0.7473,                0.91881,                 1.0344,               0.006403,               0.006403,               0.006403
                    111,                0.59147,                0.53433,                 1.0104,                0.79448,                0.79624,                0.85545,                0.68475,                0.74622,                0.94696,                 1.0351,                0.00637,                0.00637,                0.00637
                    112,                0.58154,                 0.5379,                 1.0022,                0.79166,                0.79542,                0.85062,                0.67789,                 0.7541,                0.93279,                 1.0423,               0.006337,               0.006337,               0.006337
                    113,                0.58054,                0.53402,                 1.0073,                0.82709,                0.76408,                0.84897,                0.67732,                0.74075,                0.95157,                 1.0359,               0.006304,               0.006304,               0.006304
                    114,                0.57426,                0.52179,                 1.0021,                0.79383,                0.79392,                0.85207,                0.68073,                0.74033,                0.94957,                  1.031,               0.006271,               0.006271,               0.006271
                    115,                 0.5785,                0.52492,                  1.004,                0.79962,                0.78474,                0.85239,                0.68336,                0.72572,                0.94375,                 1.0216,               0.006238,               0.006238,               0.006238
                    116,                0.57258,                0.50942,                0.99903,                0.78244,                0.80994,                0.85328,                0.68617,                0.72782,                0.94658,                 1.0247,               0.006205,               0.006205,               0.006205
                    117,                0.56691,                0.52313,                0.99834,                0.80343,                0.79092,                0.85794,                0.69018,                0.73154,                0.93689,                 1.0306,               0.006172,               0.006172,               0.006172
                    118,                0.56143,                0.51121,                0.99121,                0.79455,                0.79671,                0.85175,                0.68232,                0.73702,                0.98352,                   1.03,               0.006139,               0.006139,               0.006139
                    119,                0.56682,                0.51239,                 1.0009,                0.80086,                0.79437,                0.85053,                 0.6819,                0.73446,                0.97648,                 1.0274,               0.006106,               0.006106,               0.006106
                    120,                0.56206,                0.49904,                0.99135,                0.77412,                0.81104,                0.85254,                0.68676,                0.73399,                0.96789,                 1.0211,               0.006073,               0.006073,               0.006073
                    121,                0.56308,                0.50683,                 0.9921,                0.78585,                0.81251,                0.85617,                0.68709,                0.72919,                0.95602,                 1.0244,                0.00604,                0.00604,                0.00604
                    122,                0.56731,                0.51229,                0.99647,                0.80022,                0.78802,                0.85155,                0.68198,                0.73384,                0.94913,                 1.0258,               0.006007,               0.006007,               0.006007
                    123,                0.55388,                0.50483,                 0.9874,                0.78937,                 0.7927,                0.84326,                0.67758,                0.73853,                 1.0049,                 1.0277,               0.005974,               0.005974,               0.005974
                    124,                0.55468,                0.49634,                0.99114,                0.80168,                0.78743,                0.84715,                0.68376,                 0.7241,                 1.0018,                 1.0196,               0.005941,               0.005941,               0.005941
